id,name,bgg_slug,min_players,max_players,notes,mechanics,release_year,bgg_weight,game_type,supports_ffa,supports_team,supports_coop,supports_solo
77f55a24-6d51-45db-a83e-efca14da8ade,A.İ. Apocalypse,,1,4,,,,,,,,,
dc6c1288-0211-4799-9248-c71bd6c4b778,Arcs (mult),,2,4,,,,,,,,,
8fd862a3-7fee-46d2-b62e-7c04917a9bf7,Ark Nova,342942,1,4,,,,,,,,,
5be4a8f6-9838-454b-ba22-f91ab02c51cd,Cabo,73664,2,4,,,,,,,,,
bb545283-88c1-46f9-8878-e716dca8d289,Daybreak,334986,1,4,,,,,,,,,
daeabe7e-0997-4b63-a2f8-bbfce3fd3d2f,Final Girl,277659,1,2,Can be solo or coop decision making,,,,,,,,
a49fc3c9-d5e0-4780-a006-e958511806f3,Frostpunk: The Board Game,311988,1,4,A city-survival game where heat means life and every decision comes with a cost. Weight: 4.39 / 5,,,,,,,,
eec258b8-6cf9-48b8-b25e-a06f7addce0d,Inventions: Evolution of Ideas,347305,1,4,"Complexity
Weight: 4.56 / 5",,,,,,,,
b7dce848-ebf9-46f1-94de-3699fc44ca69,Keyforge,,1,3,,,,,,,,,
c11a1a50-fd55-47f5-9b85-dbbb6d800107,"League of Legends (head-to-head counts, no single)",,2,10,Head to head games between each other counts. Mode doesn't matter.,,,,,,,,
f6ca7295-699d-4196-9151-8655059b3023,Mind MGMT: The Psychic Espionage “Game.”,284653,2,5,Psychic rogue agents team up to track down the Recruiter in Zanzibar. Weight: 2.91 / 5,,,,,,,,
3bf7a4ee-675d-44fb-a9a2-94d1b37421c0,SETI: Search for Extraterrestrial Intelligence,418059,1,4,Search for signs of alien life by launching probes and analyzing distant signals. Weight: 3.78 / 5,,,,,,,,
b7405c11-28e3-444f-87ec-7097012c871a,Ship of Fools,,2,2,On steam,,,,,,,,
5966c548-f52e-4f54-acad-fad787e32b87,Slay the Spire,338960,1,4,,,,,,,,,
0d3350b8-a367-4bec-abcf-a2c424ef5b87,Sleeping Gods,255984,1,4,"Weight: 3.25 / 5,  Coop or solo",,,,,,,,
ac5ce418-3491-4cdd-a71f-c3eb37533b40,"TFT (Team Fight Tactics, no single)",,2,8,TFT from LOL,,,,,,,,
b3bf4a7d-cc48-4aff-99a3-cbca35fd840d,Viticulture,128621,2,6,,,,,,,,,
d69ff5f2-a5fc-4d61-baa3-83338a463823,Wandering Galaxy,414595,1,6,Co-op,,,,,,,,
